UserID,ExposureID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
UGIgu,P8602046,3P Audience,28,Female,64079,iOS,Smartphone,Safari,"Casper, Wyoming"
U508D,O3954042,Custom Audience,36,Female,117154,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
Uadda,O6219257,Custom Audience,44,Male,110387,iOS,Smartphone,Safari,"Laramie, Wyoming"
UeYi3,O9256734,3P Audience,29,Male,66661,iOS,Tablet,Safari,"Cheyenne, Wyoming"
U9jrj,P4534766,3P Audience,18,Female,58272,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
U2mnp,O1723533,1P Audience,46,Male,179843,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
UCYoL,O1817291,1P Audience,17,Male,46298,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UuWMZ,P3508338,1P Audience,38,Male,114721,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
Unrzo,P1584908,1P Audience,42,Female,103250,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UeYi3,P8972521,1P Audience,29,Male,66661,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
U0Cg4,P6737378,1P Audience,17,Female,47569,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
UrGSH,P4109156,3P Audience,20,Male,48078,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UgPdD,O2773324,1P Audience,24,Female,57983,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
UaLbp,P4526634,3P Audience,36,Female,104828,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UjSl5,P4143826,Custom Audience,54,Male,174343,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UwFnN,P5756855,1P Audience,38,Male,111019,iOS,Tablet,Safari,"Casper, Wyoming"
Uj26t,O9316330,1P Audience,30,Female,62059,iOS,Tablet,Safari,"Cheyenne, Wyoming"
UwfQN,O7324637,3P Audience,38,Male,96833,Windows,Desktop,Microsoft Edge,"Laramie, Wyoming"
Ude4g,P1471585,3P Audience,21,Female,58687,iOS,Tablet,Safari,"Casper, Wyoming"
UFusg,O4452210,Custom Audience,23,Male,55641,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
U85Mj,P6506196,Custom Audience,50,Male,179210,iOS,Tablet,Safari,"Laramie, Wyoming"
Uphlf,O3350484,Custom Audience,34,Male,61517,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
UU8Qh,O5650880,1P Audience,18,Female,50101,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
U5Y5i,P6754598,Custom Audience,36,Female,105803,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UKj2K,O3190962,1P Audience,34,Male,77145,iOS,Tablet,Safari,"Casper, Wyoming"
U4zHy,O1631114,Custom Audience,53,Female,185794,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
UJVXs,O6463009,3P Audience,16,Male,44963,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UdMuN,O3120442,3P Audience,33,Female,69044,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UQyXi,O6862646,3P Audience,51,Male,139381,iOS,Tablet,Safari,"Laramie, Wyoming"
UK5y3,P2016579,1P Audience,48,Female,175995,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
U4TUk,P8134491,1P Audience,34,Male,72749,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
Ug4bT,P4437329,1P Audience,45,Female,83544,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
UmEa7,P7601710,1P Audience,50,Female,135693,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UoSXT,P6958676,3P Audience,19,Female,53196,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UBk2v,O9091626,1P Audience,52,Male,187511,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
UfJV9,P6589733,3P Audience,42,Male,101049,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
UeYi3,P5080847,3P Audience,29,Male,66661,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
UEBsi,P4593562,Custom Audience,32,Female,67467,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UEETx,O7204797,1P Audience,28,Female,64345,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UaPch,O6477949,Custom Audience,37,Female,104174,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UjSl5,P6530216,1P Audience,54,Male,174343,iOS,Tablet,Safari,"Laramie, Wyoming"
