AdDate,CreativeID,ExposureID,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated
Jul-23,C0144,O8606152,Video,Yes,Yes,Yes,0,890
Sep-23,C0094,P2335021,Banner,No,No,No,422,0
Jun-23,C0246,O6068542,Carousel,No,No,No,0,0
Jun-23,C0029,O9399392,Carousel,No,No,No,0,0
Jun-23,C0017,P7421320,Video,No,No,No,735,0
Apr-23,C0096,O3574571,Video,No,No,No,0,0
Jan-23,C0076,P6222609,Video,No,No,No,598,0
Jun-23,C0059,O9864491,Banner,Yes,No,No,0,0
Jan-23,C0231,O6084386,Banner,No,No,No,0,0
Apr-23,C0177,O9764701,Video,No,No,No,0,0
Apr-23,C0247,O5241832,Video,Yes,Yes,No,0,0
Jul-23,C0046,P4302894,Banner,No,No,No,475,0
Apr-23,C0206,P2969278,Carousel,No,No,No,237,0
Oct-23,C0083,P7558364,Carousel,Yes,No,No,570,0
Dec-23,C0045,O5007787,Banner,Yes,Yes,Yes,0,337
Nov-23,C0188,P7817462,Banner,No,No,No,649,0
Jul-23,C0224,P2394279,Banner,No,No,No,681,0
Sep-23,C0141,P8812877,Banner,No,No,No,369,0
Aug-23,C0094,P6295544,Banner,No,No,No,878,0
Jul-23,C0237,O3462613,Banner,Yes,Yes,Yes,0,613
Nov-23,C0041,P6580463,Banner,No,No,No,177,0
Jul-23,C0161,O6967079,Banner,No,No,No,0,0
Jun-23,C0054,O6014713,Video,No,No,No,0,0
May-23,C0162,O8597799,Banner,Yes,No,No,0,0
Jun-23,C0249,P5647273,Banner,Yes,Yes,Yes,347,666
Sep-23,C0142,O2599201,Carousel,No,No,No,0,0
Mar-23,C0124,O9335655,Video,No,No,No,0,0
Sep-23,C0096,O1569426,Banner,Yes,No,No,0,0
Feb-23,C0180,P7893885,Carousel,No,No,No,228,0
May-23,C0213,P5755991,Banner,No,No,No,739,0
Jun-23,C0136,O7959070,Carousel,No,No,No,0,0
Aug-23,C0022,O9155021,Video,No,No,No,0,0
Jun-23,C0072,O7950202,Carousel,Yes,Yes,Yes,0,800
Apr-23,C0098,O7084039,Banner,Yes,No,No,0,0
Aug-23,C0059,P9228266,Video,No,No,No,273,0
May-23,C0121,P3137743,Banner,Yes,No,No,231,0
Mar-23,C0099,O2688353,Banner,Yes,No,No,0,0
Jun-23,C0132,O5011846,Video,Yes,No,No,0,0
May-23,C0082,P8896579,Banner,No,No,No,341,0
Dec-23,C0046,O2596475,Banner,No,No,No,0,0
Oct-23,C0167,P6494394,Carousel,No,No,No,705,0
Mar-23,C0116,P2816355,Banner,No,No,No,240,0
Oct-23,C0094,O2426605,Banner,No,No,No,0,0
May-23,C0048,P6924199,Carousel,No,No,No,570,0
May-23,C0072,P6039693,Banner,No,No,No,611,0
Nov-23,C0224,P2364872,Banner,No,No,No,624,0
