SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession
OAD7VHEDP5,O8606152,Direct,490,No,4
CPITP7UUAR,P2335021,Paid Search,136,No,1
WJQ4TDH9GC,O6068542,Referral,141,No,1
4LXC1KCUE3,O9399392,Direct,61,No,1
2U49WQM2ZQ,P7421320,Paid Search,127,No,3
RNHPLJ3COK,O3574571,Direct,130,No,3
ZHD1OQQ12M,P6222609,Paid Search,139,No,2
DZIGATZSNO,O9864491,Referral,169,No,3
34WKXHBOPH,O6084386,Referral,157,Yes,2
XVVT1GMHD3,O9764701,SEO,99,No,2
6PIRMR6PW9,O5241832,Referral,142,No,3
U2QCUCQSFP,P4302894,Paid Search,95,Yes,3
O7NWG8C051,P2969278,Display,86,No,2
9MFRQ1RHQ6,P7558364,Display,148,No,2
FTY2UJCHGK,O5007787,SEO,438,No,6
2Y2RAE3LEN,P7817462,Paid Search,129,No,1
P3EUBL9XOE,P2394279,Display,76,No,3
PLALTI6Z11,P8812877,Paid Search,98,Yes,2
Y97MXYDQEJ,P6295544,Paid Search,104,No,2
L5ZI9MA50E,O3462613,Direct,405,No,6
09IN83RLA3,P6580463,Display,149,No,2
PWRW79FXPY,O6967079,SEO,109,No,1
HQRYMB9RUH,O6014713,Referral,115,No,2
OSHN7G314O,O8597799,SEO,171,No,3
VD1C1J7YJB,P5647273,Paid Search,467,No,6
6I59NT6YBQ,O2599201,SEO,85,Yes,1
3AUC4SCHI7,O9335655,SEO,131,No,3
L2JR5GRFZ6,O1569426,SEO,139,No,1
HQ1PMDGDYQ,P7893885,Display,131,No,3
YUOB2K528D,P5755991,Display,170,No,2
XCGA5RE9NS,O7959070,Direct,101,Yes,2
C0SJ5HQ7S9,O9155021,Direct,163,No,3
6KF6JCXQ4J,O7950202,SEO,569,No,6
G55QMF4A81,O7084039,SEO,150,No,2
KN7D4MY6AF,P9228266,Paid Search,122,No,1
44E9PGKI4W,P3137743,Paid Search,175,No,3
2N10KY8ZX6,O2688353,SEO,120,No,3
2URQNMWU7I,O5011846,SEO,119,No,2
K02MSUGVMT,P8896579,Display,178,Yes,3
T0N5VPUJR1,O2596475,Referral,97,Yes,1
AP8O8CG58E,P6494394,Display,72,No,2
3PBGMGM94J,P2816355,Paid Search,119,No,3
LWMNZJJL8B,O2426605,Referral,88,No,2
4JBU0XTBE4,P6924199,Paid Search,144,Yes,3
QOI2755MSM,P6039693,Display,157,No,2
ZBY8W4NI8Y,P2364872,Paid Search,83,No,2
4LRDGRGLQU,P8528278,Paid Search,133,Yes,2
VROYVX6VT5,O8239574,Referral,97,Yes,1
R06I78XF76,P9024669,Paid Search,139,Yes,2
NX4T8RQTT4,P7280030,Paid Search,80,No,2
QP2LYQV604,O7040128,SEO,88,No,3
5QFI7EDK7F,P3992076,Display,146,No,1
JSZ74BV9M9,P5117966,Paid Search,358,No,5
E2I6LTSJN8,P1858417,Display,162,Yes,2
6UMSOXLYRT,P4409972,Display,60,No,3
6U0INYZXKC,P4607595,Paid Search,73,Yes,2
