Date,TransactionID,VendorName,ExpenseTotal
2024/01/01,8765432109,Amazon,45.75
2024/01/02,1234567890,Walmart,123.49
2024/01/03,9876543210,Starbucks,5.20
2024/01/04,2345678901,Target,78.99
2024/01/05,3456789012,Chevron,62.10
2024/01/06,4567890123,Best Buy,349.99
2024/01/07,5678901234,Safeway,88.50
2024/01/08,6789012345,McDonald's,12.85
2024/01/09,7890123456,Home Depot,210.00
2024/01/10,8901234567,CVS Pharmacy,15.60
2024/01/11,9012345678,Shell,55.00
2024/01/12,0123456789,Kroger,92.30
2024/01/13,1122334455,Subway,9.75
2024/01/14,2233445566,Costco,180.25
2024/01/15,3344556677,Walgreens,22.40
2024/01/16,4455667788,ExxonMobil,70.00
2024/01/17,5566778899,Whole Foods,65.90
2024/01/18,6677889900,Burger King,8.50
2024/01/19,7788990011,Lowe's,150.00
2024/01/20,8899001122,Rite Aid,18.99
2024/01/21,9900112233,7-Eleven,7.50
2024/01/22,0011223344,Panda Express,11.25
2024/01/23,1029384756,Trader Joe's,50.00
2024/01/24,2130495867,Domino's Pizza,25.00
2024/01/25,3241506978,BP,60.50
2024/01/26,4352617089,Starbucks,6.80
2024/01/27,5463728190,PetSmart,40.00
2024/01/28,6574839201,Gamestop,55.00
2024/01/29,7685940312,Olive Garden,35.00
2024/01/30,8796051423,CVS Pharmacy,10.00
2024/01/31,9807162534,Circle K,8.00
2024/02/01,0918273645,Home Depot,75.00
2024/02/02,1020304050,Walmart,200.00
2024/02/03,2030405060,Target,90.00
2024/02/04,3040506070,Amazon,30.00
2024/02/05,4050607080,Chevron,65.00
2024/02/06,5060708090,Best Buy,120.00
2024/02/07,6070809000,Safeway,70.00
2024/02/08,7080900010,McDonald's,10.00
2024/02/09,8090001020,Lowe's,180.00
2024/02/10,9000102030,Walgreens,20.00
2024/02/11,0010203040,Shell,58.00
2024/02/12,1020304050,Kroger,85.00
2024/02/13,2030405061,Subway,11.00
2024/02/14,3040506172,Costco,210.00
2024/02/15,4050617283,Rite Aid,25.00
2024/02/16,5061728394,ExxonMobil,72.00
2024/02/17,6172839405,Whole Foods,70.00
2024/02/18,7283940516,Burger King,9.00
2024/02/19,8394051627,7-Eleven,6.00
2024/02/20,9405162738,Panda Express,13.00
2024/02/21,0516273849,Trader Joe's,55.00
2024/02/22,1627384950,Domino's Pizza,28.00
2024/02/23,2738495061,BP,68.00
2024/02/24,3849506172,Starbucks,7.50
2024/02/25,4950617283,PetSmart,45.00
2024/02/26,5061728394,Gamestop,60.00
2024/02/27,6172839405,Olive Garden,40.00
2024/02/28,7283940516,CVS Pharmacy,13.00
2024/02/29,8394051627,Circle K,9.00
2024/03/01,9405162738,Home Depot,80.00
2024/03/02,0516273849,Walmart,130.00
2024/03/03,1627384950,Target,85.00
2024/03/04,2738495061,Amazon,42.00
2024/03/05,3849506172,Chevron,60.00
2024/03/06,4950617283,Best Buy,220.00
2024/03/07,5061728394,Safeway,95.00
2024/03/08,6172839405,McDonald's,15.00
2024/03/09,7283940516,Lowe's,100.00
2024/03/10,8394051627,Walgreens,28.00
2024/03/11,9405162738,Shell,65.00
2024/03/12,0516273849,Kroger,110.00
2024/03/13,1627384950,Subway,10.00
2024/03/14,2738495061,Costco,190.00
2024/03/15,3849506172,Rite Aid,20.00
2024/03/16,4950617283,ExxonMobil,75.00
2024/03/17,5061728394,Whole Foods,80.00
2024/03/18,6172839405,Burger King,10.00
2024/03/19,7283940516,7-Eleven,8.00
2024/03/20,8394051627,Panda Express,12.00
2024/03/21,9405162738,Trader Joe's,60.00
2024/03/22,0516273849,Domino's Pizza,22.00
2024/03/23,1627384950,BP,70.00
2024/03/24,2738495061,Starbucks,5.50
2024/03/25,3849506172,PetSmart,30.00
2024/03/26,4950617283,Gamestop,40.00
2024/03/27,5061728394,Olive Garden,38.00
2024/03/28,6172839405,CVS Pharmacy,16.00
2024/03/29,7283940516,Circle K,7.00
2024/03/30,8394051627,Home Depot,90.00
2024/03/31,9405162738,Walmart,140.00
2024/04/01,0516273849,Target,95.00
2024/04/02,1627384950,Amazon,50.00
2024/04/03,2738495061,Chevron,70.00
2024/04/04,3849506172,Best Buy,250.00
2024/04/05,4950617283,Safeway,100.00
2024/04/06,5061728394,McDonald's,14.00
2024/04/07,6172839405,Lowe's,110.00
2t24/04/08,7283940516,Walgreens,30.00
2024/04/09,8394051627,Shell,60.00
2024/04/10,9405162738,Kroger,120.00
2024/04/11,0516273849,Subway,12.00
2024/04/12,1627384950,Costco,200.00
2024/04/13,2738495061,Rite Aid,23.00
2024/04/14,3849506172,ExxonMobil,80.00
2024/04/15,4950617283,Whole Foods,85.00
2024/04/16,5061728394,Burger King,9.50
2024/04/17,6172839405,7-Eleven,9.00
2024/04/18,7283940516,Panda Express,14.00
2024/04/19,8394051627,Trader Joe's,65.00
2024/04/20,9405162738,Domino's Pizza,27.00
2024/04/21,0516273849,BP,75.00
2024/04/22,1627384950,Starbucks,6.00
2024/04/23,2738495061,PetSmart,35.00
2024/04/24,3849506172,Gamestop,45.00
2024/04/25,4950617283,Olive Garden,42.00
2024/04/26,5061728394,CVS Pharmacy,17.00
2024/04/27,6172839405,Circle K,8.50
2024/04/28,7283940516,Home Depot,95.00
2024/04/29,8394051627,Walmart,150.00
2024/04/30,9405162738,Target,100.00
2024/05/01,0516273849,Amazon,55.00
2024/05/02,1627384950,Chevron,72.00
2024/05/03,2738495061,Best Buy,280.00
2024/05/04,3849506172,Safeway,105.00
2024/05/05,4950617283,McDonald's,16.00
2024/05/06,5061728394,Lowe's,120.00
2024/05/07,6172839405,Walgreens,32.00
2024/05/08,7283940516,Shell,68.00
2024/05/09,8394051627,Kroger,130.00
2024/05/10,9405162738,Subway,11.50
2024/05/11,0516273849,Costco,220.00
2024/05/12,1627384950,Rite Aid,26.00
2024/05/13,2738495061,ExxonMobil,85.00
2024/05/14,3849506172,Whole Foods,90.00
2024/05/15,4950617283,Burger King,10.50
2024/05/16,5061728394,7-Eleven,8.80
2024/05/17,6172839405,Panda Express,15.00
2024/05/18,7283940516,Trader Joe's,70.00
2024/05/19,8394051627,Domino's Pizza,30.00
2024/05/20,9405162738,BP,80.00
2024/05/21,0516273849,Starbucks,6.50
2024/05/22,1627384950,PetSmart,40.00
2024/05/23,2738495061,Gamestop,50.00
2024/05/24,3849506172,Olive Garden,45.00
2024/05/25,4950617283,CVS Pharmacy,19.00
2024/05/26,5061728394,Circle K,9.50
2024/05/27,6172839405,Home Depot,100.00
2024/05/28,7283940516,Walmart,160.00
2024/05/29,8394051627,Target,110.00
2024/05/30,9405162738,Amazon,60.00
2024/05/31,0516273849,Chevron,75.00
2024/06/01,1627384950,Best Buy,300.00
2024/06/02,2738495061,Safeway,110.00
2024/06/03,3849506172,McDonald's,17.00
2024/06/04,4950617283,Lowe's,130.00
2024/06/05,5061728394,Walgreens,35.00
2024/06/06,6172839405,Shell,70.00
2024/06/07,7283940516,Kroger,140.00
2024/06/08,8394051627,Subway,13.00
2024/06/09,9405162738,Costco,230.00
2024/06/10,0516273849,Rite Aid,28.00
2024/06/11,1627384950,ExxonMobil,90.00
2024/06/12,2738495061,Whole Foods,95.00
2024/06/13,3849506172,Burger King,11.00
2024/06/14,4950617283,7-Eleven,9.20
2024/06/15,5061728394,Panda Express,16.00
2024/06/16,6172839405,Trader Joe's,75.00
2024/06/17,7283940516,Domino's Pizza,32.00
2024/06/18,8394051627,BP,85.00
2024/06/19,9405162738,Starbucks,7.00
2024/06/20,0516273849,PetSmart,42.00
